"filename", "language", "JavaScript", "PHP", "PostCSS", "Markdown", "JSON", "Properties", "XML", "Docker", "YAML", "comment", "blank", "total"
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\public\index.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 30, 12, 56
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\resources\css\app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\resources\js\app.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\resources\js\bootstrap.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 36
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\resources\views\welcome.blade.php", "PHP", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 20, 133
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\routes\api.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 6, 31
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\routes\channels.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 10, 4, 19
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\routes\console.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\routes\web.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 10, 4, 19
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\tests\CreatesApplication.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 6, 23
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\tests\Feature\ExampleTest.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 5, 22
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\tests\TestCase.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\tests\Unit\ExampleTest.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\vendor\spatie\ignition\resources\compiled\ignition.css", "PostCSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\vite.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 22, 1985, 1, 45, 8217, 20, 29, 17, 72, 1280, 653, 12341
